metatype	system_or_gold	cluster1	cluster2	similarity
Entity	system	cluster-NILE20838	cluster-NILE20873	0
Entity	system	cluster-NILE20838	cluster-NILE20874	0
Entity	system	cluster-NILE20838	cluster-NILE20875	0
Entity	system	cluster-NILE20838	cluster-NILE20876	0
Entity	system	cluster-NILE20838	cluster-NILE20877	0
Entity	system	cluster-NILE20838	cluster-NILE20878	0
Entity	system	cluster-NILE20838	cluster-NILE20879	0
Entity	system	cluster-NILE20838	cluster-NILE20880	0
Entity	system	cluster-NILE20838	cluster-NILE20881	0
Entity	system	cluster-NILE20838	cluster-NILE20882	0
Entity	system	cluster-NILE20838	cluster-NILE20883	0
Entity	system	cluster-NILE20838	cluster-NILE20884	0
Entity	system	cluster-NILE20838	cluster-NILE20885	0
Entity	system	cluster-NILE20838	cluster-NILE20886	0
Entity	system	cluster-NILE20839	cluster-NILE20830	0
Entity	system	cluster-NILE20839	cluster-NILE20831	0
Entity	system	cluster-NILE20839	cluster-NILE20832	0
Entity	system	cluster-NILE20839	cluster-NILE20833	0
Entity	system	cluster-NILE20839	cluster-NILE20834	0
Entity	system	cluster-NILE20839	cluster-NILE20835	0
Entity	system	cluster-NILE20839	cluster-NILE20836	0
Entity	system	cluster-NILE20839	cluster-NILE20837	0
Entity	system	cluster-NILE20839	cluster-NILE20838	0
Entity	system	cluster-NILE20839	cluster-NILE20839	1
Entity	system	cluster-NILE20839	cluster-NILE20840	0
Entity	system	cluster-NILE20839	cluster-NILE20841	0
Entity	system	cluster-NILE20839	cluster-NILE20842	0
Entity	system	cluster-NILE20839	cluster-NILE20843	0
Entity	system	cluster-NILE20839	cluster-NILE20844	0
Entity	system	cluster-NILE20839	cluster-NILE20845	0
Entity	system	cluster-NILE20839	cluster-NILE20846	0
Entity	system	cluster-NILE20839	cluster-NILE20847	0
Entity	system	cluster-NILE20839	cluster-NILE20848	0
Entity	system	cluster-NILE20839	cluster-NILE20849	0
Entity	system	cluster-NILE20839	cluster-NILE20850	0
Entity	system	cluster-NILE20839	cluster-NILE20851	0
Entity	system	cluster-NILE20839	cluster-NILE20852	0
Entity	system	cluster-NILE20839	cluster-NILE20853	0
Entity	system	cluster-NILE20839	cluster-NILE20854	0
Entity	system	cluster-NILE20839	cluster-NILE20855	0
Entity	system	cluster-NILE20839	cluster-NILE20856	0
Entity	system	cluster-NILE20839	cluster-NILE20857	0
Entity	system	cluster-NILE20839	cluster-NILE20858	0
Entity	system	cluster-NILE20839	cluster-NILE20859	0
Entity	system	cluster-NILE20839	cluster-NILE20860	0
Entity	system	cluster-NILE20839	cluster-NILE20861	0
Entity	system	cluster-NILE20839	cluster-NILE20862	0
Entity	system	cluster-NILE20839	cluster-NILE20863	0
Entity	system	cluster-NILE20839	cluster-NILE20864	0
Entity	system	cluster-NILE20839	cluster-NILE20865	0
Entity	system	cluster-NILE20839	cluster-NILE20866	0
Entity	system	cluster-NILE20839	cluster-NILE20867	0
Entity	system	cluster-NILE20839	cluster-NILE20868	0
Entity	system	cluster-NILE20839	cluster-NILE20869	0
Entity	system	cluster-NILE20839	cluster-NILE20870	0
Entity	system	cluster-NILE20839	cluster-NILE20871	0
Entity	system	cluster-NILE20839	cluster-NILE20872	0
Entity	system	cluster-NILE20839	cluster-NILE20873	0
Entity	system	cluster-NILE20839	cluster-NILE20874	0
Entity	system	cluster-NILE20839	cluster-NILE20875	0
Entity	system	cluster-NILE20839	cluster-NILE20876	0
Entity	system	cluster-NILE20839	cluster-NILE20877	0
Entity	system	cluster-NILE20839	cluster-NILE20878	0
Entity	system	cluster-NILE20839	cluster-NILE20879	0
Entity	system	cluster-NILE20839	cluster-NILE20880	0
Entity	system	cluster-NILE20839	cluster-NILE20881	0
Entity	system	cluster-NILE20839	cluster-NILE20882	0
Entity	system	cluster-NILE20839	cluster-NILE20883	0
Entity	system	cluster-NILE20839	cluster-NILE20884	0
Entity	system	cluster-NILE20839	cluster-NILE20885	0
Entity	system	cluster-NILE20839	cluster-NILE20886	0
Entity	system	cluster-NILE20840	cluster-NILE20830	0
Entity	system	cluster-NILE20840	cluster-NILE20831	0
Entity	system	cluster-NILE20840	cluster-NILE20832	0
Entity	system	cluster-NILE20840	cluster-NILE20833	0
Entity	system	cluster-NILE20840	cluster-NILE20834	0
Entity	system	cluster-NILE20840	cluster-NILE20835	0
Entity	system	cluster-NILE20840	cluster-NILE20836	0
Entity	system	cluster-NILE20840	cluster-NILE20837	0
Entity	system	cluster-NILE20840	cluster-NILE20838	0
Entity	system	cluster-NILE20840	cluster-NILE20839	0
Entity	system	cluster-NILE20840	cluster-NILE20840	1
Entity	system	cluster-NILE20840	cluster-NILE20841	0
Entity	system	cluster-NILE20840	cluster-NILE20842	0
Entity	system	cluster-NILE20840	cluster-NILE20843	0
Entity	system	cluster-NILE20840	cluster-NILE20844	0
Entity	system	cluster-NILE20840	cluster-NILE20845	0
Entity	system	cluster-NILE20840	cluster-NILE20846	0
Entity	system	cluster-NILE20840	cluster-NILE20847	0
Entity	system	cluster-NILE20840	cluster-NILE20848	0
Entity	system	cluster-NILE20840	cluster-NILE20849	0
Entity	system	cluster-NILE20840	cluster-NILE20850	0
Entity	system	cluster-NILE20840	cluster-NILE20851	0
Entity	system	cluster-NILE20840	cluster-NILE20852	0
Entity	system	cluster-NILE20840	cluster-NILE20853	0
Entity	system	cluster-NILE20840	cluster-NILE20854	0
Entity	system	cluster-NILE20840	cluster-NILE20855	0
Entity	system	cluster-NILE20840	cluster-NILE20856	0
Entity	system	cluster-NILE20840	cluster-NILE20857	0
Entity	system	cluster-NILE20840	cluster-NILE20858	0
Entity	system	cluster-NILE20840	cluster-NILE20859	0
Entity	system	cluster-NILE20840	cluster-NILE20860	0
Entity	system	cluster-NILE20840	cluster-NILE20861	0
Entity	system	cluster-NILE20840	cluster-NILE20862	0
Entity	system	cluster-NILE20840	cluster-NILE20863	0
Entity	system	cluster-NILE20840	cluster-NILE20864	0
Entity	system	cluster-NILE20840	cluster-NILE20865	0
Entity	system	cluster-NILE20840	cluster-NILE20866	0
Entity	system	cluster-NILE20840	cluster-NILE20867	0
Entity	system	cluster-NILE20840	cluster-NILE20868	0
Entity	system	cluster-NILE20840	cluster-NILE20869	0
Entity	system	cluster-NILE20840	cluster-NILE20870	0
Entity	system	cluster-NILE20840	cluster-NILE20871	0
Entity	system	cluster-NILE20840	cluster-NILE20872	0
Entity	system	cluster-NILE20840	cluster-NILE20873	0
Entity	system	cluster-NILE20840	cluster-NILE20874	0
Entity	system	cluster-NILE20840	cluster-NILE20875	0
Entity	system	cluster-NILE20840	cluster-NILE20876	0
Entity	system	cluster-NILE20840	cluster-NILE20877	0
Entity	system	cluster-NILE20840	cluster-NILE20878	0
Entity	system	cluster-NILE20840	cluster-NILE20879	0
Entity	system	cluster-NILE20840	cluster-NILE20880	0
Entity	system	cluster-NILE20840	cluster-NILE20881	0
Entity	system	cluster-NILE20840	cluster-NILE20882	0
Entity	system	cluster-NILE20840	cluster-NILE20883	0
Entity	system	cluster-NILE20840	cluster-NILE20884	0
Entity	system	cluster-NILE20840	cluster-NILE20885	0
Entity	system	cluster-NILE20840	cluster-NILE20886	0
Entity	system	cluster-NILE20841	cluster-NILE20830	0
Entity	system	cluster-NILE20841	cluster-NILE20831	0
Entity	system	cluster-NILE20841	cluster-NILE20832	0
Entity	system	cluster-NILE20841	cluster-NILE20833	0
Entity	system	cluster-NILE20841	cluster-NILE20834	0
Entity	system	cluster-NILE20841	cluster-NILE20835	0
Entity	system	cluster-NILE20841	cluster-NILE20836	0
Entity	system	cluster-NILE20841	cluster-NILE20837	0
Entity	system	cluster-NILE20841	cluster-NILE20838	0
Entity	system	cluster-NILE20841	cluster-NILE20839	0
Entity	system	cluster-NILE20841	cluster-NILE20840	0
Entity	system	cluster-NILE20841	cluster-NILE20841	1
Entity	system	cluster-NILE20841	cluster-NILE20842	0
Entity	system	cluster-NILE20841	cluster-NILE20843	0
Entity	system	cluster-NILE20841	cluster-NILE20844	0
Entity	system	cluster-NILE20841	cluster-NILE20845	0
Entity	system	cluster-NILE20841	cluster-NILE20846	0
Entity	system	cluster-NILE20841	cluster-NILE20847	0
Entity	system	cluster-NILE20841	cluster-NILE20848	0
Entity	system	cluster-NILE20841	cluster-NILE20849	0
Entity	system	cluster-NILE20841	cluster-NILE20850	0
Entity	system	cluster-NILE20841	cluster-NILE20851	0
Entity	system	cluster-NILE20841	cluster-NILE20852	0
Entity	system	cluster-NILE20841	cluster-NILE20853	0
Entity	system	cluster-NILE20841	cluster-NILE20854	0
Entity	system	cluster-NILE20841	cluster-NILE20855	0
Entity	system	cluster-NILE20841	cluster-NILE20856	0
Entity	system	cluster-NILE20841	cluster-NILE20857	0
Entity	system	cluster-NILE20841	cluster-NILE20858	0
Entity	system	cluster-NILE20841	cluster-NILE20859	0
Entity	system	cluster-NILE20841	cluster-NILE20860	0
Entity	system	cluster-NILE20841	cluster-NILE20861	0
Entity	system	cluster-NILE20841	cluster-NILE20862	0
Entity	system	cluster-NILE20841	cluster-NILE20863	0
Entity	system	cluster-NILE20841	cluster-NILE20864	0
Entity	system	cluster-NILE20841	cluster-NILE20865	0
Entity	system	cluster-NILE20841	cluster-NILE20866	0
Entity	system	cluster-NILE20841	cluster-NILE20867	0
Entity	system	cluster-NILE20841	cluster-NILE20868	0
Entity	system	cluster-NILE20841	cluster-NILE20869	0
Entity	system	cluster-NILE20841	cluster-NILE20870	0
Entity	system	cluster-NILE20841	cluster-NILE20871	0
Entity	system	cluster-NILE20841	cluster-NILE20872	0
Entity	system	cluster-NILE20841	cluster-NILE20873	0
Entity	system	cluster-NILE20841	cluster-NILE20874	0
Entity	system	cluster-NILE20841	cluster-NILE20875	0
Entity	system	cluster-NILE20841	cluster-NILE20876	0
Entity	system	cluster-NILE20841	cluster-NILE20877	0
Entity	system	cluster-NILE20841	cluster-NILE20878	0
Entity	system	cluster-NILE20841	cluster-NILE20879	0
Entity	system	cluster-NILE20841	cluster-NILE20880	0
Entity	system	cluster-NILE20841	cluster-NILE20881	0
Entity	system	cluster-NILE20841	cluster-NILE20882	0
Entity	system	cluster-NILE20841	cluster-NILE20883	0
Entity	system	cluster-NILE20841	cluster-NILE20884	0
Entity	system	cluster-NILE20841	cluster-NILE20885	0
Entity	system	cluster-NILE20841	cluster-NILE20886	0
Entity	system	cluster-NILE20842	cluster-NILE20830	0
Entity	system	cluster-NILE20842	cluster-NILE20831	0
Entity	system	cluster-NILE20842	cluster-NILE20832	0
Entity	system	cluster-NILE20842	cluster-NILE20833	0
Entity	system	cluster-NILE20842	cluster-NILE20834	0
Entity	system	cluster-NILE20842	cluster-NILE20835	0
Entity	system	cluster-NILE20842	cluster-NILE20836	0
Entity	system	cluster-NILE20842	cluster-NILE20837	0
Entity	system	cluster-NILE20842	cluster-NILE20838	0
Entity	system	cluster-NILE20842	cluster-NILE20839	0
Entity	system	cluster-NILE20842	cluster-NILE20840	0
Entity	system	cluster-NILE20842	cluster-NILE20841	0
Entity	system	cluster-NILE20842	cluster-NILE20842	1
Entity	system	cluster-NILE20842	cluster-NILE20843	0
Entity	system	cluster-NILE20842	cluster-NILE20844	0
Entity	system	cluster-NILE20842	cluster-NILE20845	0
Entity	system	cluster-NILE20842	cluster-NILE20846	0
Entity	system	cluster-NILE20842	cluster-NILE20847	0
Entity	system	cluster-NILE20842	cluster-NILE20848	0
Entity	system	cluster-NILE20842	cluster-NILE20849	0
Entity	system	cluster-NILE20842	cluster-NILE20850	0
Entity	system	cluster-NILE20842	cluster-NILE20851	0
Entity	system	cluster-NILE20842	cluster-NILE20852	0
Entity	system	cluster-NILE20842	cluster-NILE20853	0
Entity	system	cluster-NILE20842	cluster-NILE20854	0
Entity	system	cluster-NILE20842	cluster-NILE20855	0
Entity	system	cluster-NILE20842	cluster-NILE20856	0
Entity	system	cluster-NILE20842	cluster-NILE20857	0
Entity	system	cluster-NILE20842	cluster-NILE20858	0
Entity	system	cluster-NILE20842	cluster-NILE20859	0
Entity	system	cluster-NILE20842	cluster-NILE20860	0
Entity	system	cluster-NILE20842	cluster-NILE20861	0
Entity	system	cluster-NILE20842	cluster-NILE20862	0
Entity	system	cluster-NILE20842	cluster-NILE20863	0
Entity	system	cluster-NILE20842	cluster-NILE20864	0
Entity	system	cluster-NILE20842	cluster-NILE20865	0
Entity	system	cluster-NILE20842	cluster-NILE20866	0
Entity	system	cluster-NILE20842	cluster-NILE20867	0
Entity	system	cluster-NILE20842	cluster-NILE20868	0
Entity	system	cluster-NILE20842	cluster-NILE20869	0
Entity	system	cluster-NILE20842	cluster-NILE20870	0
Entity	system	cluster-NILE20842	cluster-NILE20871	0
Entity	system	cluster-NILE20842	cluster-NILE20872	0
Entity	system	cluster-NILE20842	cluster-NILE20873	0
Entity	system	cluster-NILE20842	cluster-NILE20874	0
Entity	system	cluster-NILE20842	cluster-NILE20875	0
Entity	system	cluster-NILE20842	cluster-NILE20876	0
Entity	system	cluster-NILE20842	cluster-NILE20877	0
Entity	system	cluster-NILE20842	cluster-NILE20878	0
Entity	system	cluster-NILE20842	cluster-NILE20879	0
Entity	system	cluster-NILE20842	cluster-NILE20880	0
Entity	system	cluster-NILE20842	cluster-NILE20881	0
Entity	system	cluster-NILE20842	cluster-NILE20882	0
Entity	system	cluster-NILE20842	cluster-NILE20883	0
Entity	system	cluster-NILE20842	cluster-NILE20884	0
Entity	system	cluster-NILE20842	cluster-NILE20885	0
Entity	system	cluster-NILE20842	cluster-NILE20886	0
Entity	system	cluster-NILE20843	cluster-NILE20830	0
Entity	system	cluster-NILE20843	cluster-NILE20831	0
Entity	system	cluster-NILE20843	cluster-NILE20832	0
Entity	system	cluster-NILE20843	cluster-NILE20833	0
Entity	system	cluster-NILE20843	cluster-NILE20834	0
Entity	system	cluster-NILE20843	cluster-NILE20835	0
Entity	system	cluster-NILE20843	cluster-NILE20836	0
Entity	system	cluster-NILE20843	cluster-NILE20837	0
Entity	system	cluster-NILE20843	cluster-NILE20838	0
Entity	system	cluster-NILE20843	cluster-NILE20839	0
Entity	system	cluster-NILE20843	cluster-NILE20840	0
Entity	system	cluster-NILE20843	cluster-NILE20841	0
Entity	system	cluster-NILE20843	cluster-NILE20842	0
Entity	system	cluster-NILE20843	cluster-NILE20843	1
Entity	system	cluster-NILE20843	cluster-NILE20844	0
Entity	system	cluster-NILE20843	cluster-NILE20845	0
Entity	system	cluster-NILE20843	cluster-NILE20846	0
Entity	system	cluster-NILE20843	cluster-NILE20847	0
Entity	system	cluster-NILE20843	cluster-NILE20848	0
Entity	system	cluster-NILE20843	cluster-NILE20849	0
Entity	system	cluster-NILE20843	cluster-NILE20850	0
Entity	system	cluster-NILE20843	cluster-NILE20851	0
Entity	system	cluster-NILE20843	cluster-NILE20852	0
Entity	system	cluster-NILE20843	cluster-NILE20853	0
Entity	system	cluster-NILE20843	cluster-NILE20854	0
Entity	system	cluster-NILE20843	cluster-NILE20855	0
Entity	system	cluster-NILE20843	cluster-NILE20856	0
Entity	system	cluster-NILE20843	cluster-NILE20857	0
Entity	system	cluster-NILE20843	cluster-NILE20858	0
Entity	system	cluster-NILE20843	cluster-NILE20859	0
Entity	system	cluster-NILE20843	cluster-NILE20860	0
Entity	system	cluster-NILE20843	cluster-NILE20861	0
Entity	system	cluster-NILE20843	cluster-NILE20862	0
Entity	system	cluster-NILE20843	cluster-NILE20863	0
Entity	system	cluster-NILE20843	cluster-NILE20864	0
Entity	system	cluster-NILE20843	cluster-NILE20865	0
Entity	system	cluster-NILE20843	cluster-NILE20866	0
Entity	system	cluster-NILE20843	cluster-NILE20867	0
Entity	system	cluster-NILE20843	cluster-NILE20868	0
Entity	system	cluster-NILE20843	cluster-NILE20869	0
Entity	system	cluster-NILE20843	cluster-NILE20870	0
Entity	system	cluster-NILE20843	cluster-NILE20871	0
Entity	system	cluster-NILE20843	cluster-NILE20872	0
Entity	system	cluster-NILE20843	cluster-NILE20873	0
Entity	system	cluster-NILE20843	cluster-NILE20874	0
Entity	system	cluster-NILE20843	cluster-NILE20875	0
Entity	system	cluster-NILE20843	cluster-NILE20876	0
Entity	system	cluster-NILE20843	cluster-NILE20877	0
Entity	system	cluster-NILE20843	cluster-NILE20878	0
Entity	system	cluster-NILE20843	cluster-NILE20879	0
Entity	system	cluster-NILE20843	cluster-NILE20880	0
Entity	system	cluster-NILE20843	cluster-NILE20881	0
Entity	system	cluster-NILE20843	cluster-NILE20882	0
Entity	system	cluster-NILE20843	cluster-NILE20883	0
Entity	system	cluster-NILE20843	cluster-NILE20884	0
Entity	system	cluster-NILE20843	cluster-NILE20885	0
Entity	system	cluster-NILE20843	cluster-NILE20886	0
Entity	system	cluster-NILE20844	cluster-NILE20830	0
Entity	system	cluster-NILE20844	cluster-NILE20831	0
Entity	system	cluster-NILE20844	cluster-NILE20832	0
Entity	system	cluster-NILE20844	cluster-NILE20833	0
Entity	system	cluster-NILE20844	cluster-NILE20834	0
Entity	system	cluster-NILE20844	cluster-NILE20835	0
Entity	system	cluster-NILE20844	cluster-NILE20836	0
Entity	system	cluster-NILE20844	cluster-NILE20837	0
Entity	system	cluster-NILE20844	cluster-NILE20838	0
Entity	system	cluster-NILE20844	cluster-NILE20839	0
Entity	system	cluster-NILE20844	cluster-NILE20840	0
Entity	system	cluster-NILE20844	cluster-NILE20841	0
Entity	system	cluster-NILE20844	cluster-NILE20842	0
Entity	system	cluster-NILE20844	cluster-NILE20843	0
Entity	system	cluster-NILE20844	cluster-NILE20844	1
Entity	system	cluster-NILE20844	cluster-NILE20845	0
Entity	system	cluster-NILE20844	cluster-NILE20846	0
Entity	system	cluster-NILE20844	cluster-NILE20847	0
Entity	system	cluster-NILE20844	cluster-NILE20848	0
Entity	system	cluster-NILE20844	cluster-NILE20849	0
Entity	system	cluster-NILE20844	cluster-NILE20850	0
Entity	system	cluster-NILE20844	cluster-NILE20851	0
Entity	system	cluster-NILE20844	cluster-NILE20852	0
Entity	system	cluster-NILE20844	cluster-NILE20853	0
Entity	system	cluster-NILE20844	cluster-NILE20854	0
Entity	system	cluster-NILE20844	cluster-NILE20855	0
Entity	system	cluster-NILE20844	cluster-NILE20856	0
Entity	system	cluster-NILE20844	cluster-NILE20857	0
Entity	system	cluster-NILE20844	cluster-NILE20858	0
Entity	system	cluster-NILE20844	cluster-NILE20859	0
Entity	system	cluster-NILE20844	cluster-NILE20860	0
Entity	system	cluster-NILE20844	cluster-NILE20861	0
Entity	system	cluster-NILE20844	cluster-NILE20862	0
Entity	system	cluster-NILE20844	cluster-NILE20863	0
Entity	system	cluster-NILE20844	cluster-NILE20864	0
Entity	system	cluster-NILE20844	cluster-NILE20865	0
Entity	system	cluster-NILE20844	cluster-NILE20866	0
Entity	system	cluster-NILE20844	cluster-NILE20867	0
Entity	system	cluster-NILE20844	cluster-NILE20868	0
Entity	system	cluster-NILE20844	cluster-NILE20869	0
Entity	system	cluster-NILE20844	cluster-NILE20870	0
Entity	system	cluster-NILE20844	cluster-NILE20871	0
Entity	system	cluster-NILE20844	cluster-NILE20872	0
Entity	system	cluster-NILE20844	cluster-NILE20873	0
Entity	system	cluster-NILE20844	cluster-NILE20874	0
Entity	system	cluster-NILE20844	cluster-NILE20875	0
Entity	system	cluster-NILE20844	cluster-NILE20876	0
Entity	system	cluster-NILE20844	cluster-NILE20877	0
Entity	system	cluster-NILE20844	cluster-NILE20878	0
Entity	system	cluster-NILE20844	cluster-NILE20879	0
Entity	system	cluster-NILE20844	cluster-NILE20880	0
Entity	system	cluster-NILE20844	cluster-NILE20881	0
Entity	system	cluster-NILE20844	cluster-NILE20882	0
Entity	system	cluster-NILE20844	cluster-NILE20883	0
Entity	system	cluster-NILE20844	cluster-NILE20884	0
Entity	system	cluster-NILE20844	cluster-NILE20885	0
Entity	system	cluster-NILE20844	cluster-NILE20886	0
Entity	system	cluster-NILE20845	cluster-NILE20830	0
Entity	system	cluster-NILE20845	cluster-NILE20831	0
Entity	system	cluster-NILE20845	cluster-NILE20832	0
Entity	system	cluster-NILE20845	cluster-NILE20833	0
Entity	system	cluster-NILE20845	cluster-NILE20834	0
Entity	system	cluster-NILE20845	cluster-NILE20835	0
Entity	system	cluster-NILE20845	cluster-NILE20836	0
Entity	system	cluster-NILE20845	cluster-NILE20837	0
Entity	system	cluster-NILE20845	cluster-NILE20838	0
Entity	system	cluster-NILE20845	cluster-NILE20839	0
