metatype	system_or_gold	cluster1	cluster2	similarity
Entity	gold	cluster-NILE20709	cluster-NILE20709	13
Entity	gold	cluster-NILE20709	cluster-NILE20710	0
Entity	gold	cluster-NILE20709	cluster-NILE20711	0
Entity	gold	cluster-NILE20709	cluster-NILE20712	0
Entity	gold	cluster-NILE20709	cluster-NILE20713	0
Entity	gold	cluster-NILE20709	cluster-NILE20714	0
Entity	gold	cluster-NILE20709	cluster-NILE20715	0
Entity	gold	cluster-NILE20709	cluster-NILE20716	0
Entity	gold	cluster-NILE20709	cluster-NILE20717	0
Entity	gold	cluster-NILE20709	cluster-NILE20718	0
Entity	gold	cluster-NILE20709	cluster-NILE20719	0
Entity	gold	cluster-NILE20709	cluster-NILE20720	0
Entity	gold	cluster-NILE20709	cluster-NILE20721	0
Entity	gold	cluster-NILE20709	cluster-NILE20722	0
Entity	gold	cluster-NILE20709	cluster-NILE20723	0
Entity	gold	cluster-NILE20709	cluster-NILE20724	0
Entity	gold	cluster-NILE20710	cluster-NILE20705	0
Entity	gold	cluster-NILE20710	cluster-NILE20706	0
Entity	gold	cluster-NILE20710	cluster-NILE20707	0
Entity	gold	cluster-NILE20710	cluster-NILE20708	0
Entity	gold	cluster-NILE20710	cluster-NILE20709	0
Entity	gold	cluster-NILE20710	cluster-NILE20710	2
Entity	gold	cluster-NILE20710	cluster-NILE20711	0
Entity	gold	cluster-NILE20710	cluster-NILE20712	0
Entity	gold	cluster-NILE20710	cluster-NILE20713	0
Entity	gold	cluster-NILE20710	cluster-NILE20714	0
Entity	gold	cluster-NILE20710	cluster-NILE20715	0
Entity	gold	cluster-NILE20710	cluster-NILE20716	0
Entity	gold	cluster-NILE20710	cluster-NILE20717	0
Entity	gold	cluster-NILE20710	cluster-NILE20718	0
Entity	gold	cluster-NILE20710	cluster-NILE20719	0
Entity	gold	cluster-NILE20710	cluster-NILE20720	0
Entity	gold	cluster-NILE20710	cluster-NILE20721	0
Entity	gold	cluster-NILE20710	cluster-NILE20722	0
Entity	gold	cluster-NILE20710	cluster-NILE20723	0
Entity	gold	cluster-NILE20710	cluster-NILE20724	0
Entity	gold	cluster-NILE20711	cluster-NILE20705	0
Entity	gold	cluster-NILE20711	cluster-NILE20706	0
Entity	gold	cluster-NILE20711	cluster-NILE20707	0
Entity	gold	cluster-NILE20711	cluster-NILE20708	0
Entity	gold	cluster-NILE20711	cluster-NILE20709	0
Entity	gold	cluster-NILE20711	cluster-NILE20710	0
Entity	gold	cluster-NILE20711	cluster-NILE20711	1
Entity	gold	cluster-NILE20711	cluster-NILE20712	0
Entity	gold	cluster-NILE20711	cluster-NILE20713	0
Entity	gold	cluster-NILE20711	cluster-NILE20714	0
Entity	gold	cluster-NILE20711	cluster-NILE20715	0
Entity	gold	cluster-NILE20711	cluster-NILE20716	0
Entity	gold	cluster-NILE20711	cluster-NILE20717	0
Entity	gold	cluster-NILE20711	cluster-NILE20718	0
Entity	gold	cluster-NILE20711	cluster-NILE20719	0
Entity	gold	cluster-NILE20711	cluster-NILE20720	0
Entity	gold	cluster-NILE20711	cluster-NILE20721	0
Entity	gold	cluster-NILE20711	cluster-NILE20722	0
Entity	gold	cluster-NILE20711	cluster-NILE20723	0
Entity	gold	cluster-NILE20711	cluster-NILE20724	0
Entity	gold	cluster-NILE20712	cluster-NILE20705	0
Entity	gold	cluster-NILE20712	cluster-NILE20706	0
Entity	gold	cluster-NILE20712	cluster-NILE20707	0
Entity	gold	cluster-NILE20712	cluster-NILE20708	0
Entity	gold	cluster-NILE20712	cluster-NILE20709	0
Entity	gold	cluster-NILE20712	cluster-NILE20710	0
Entity	gold	cluster-NILE20712	cluster-NILE20711	0
Entity	gold	cluster-NILE20712	cluster-NILE20712	10
Entity	gold	cluster-NILE20712	cluster-NILE20713	0
Entity	gold	cluster-NILE20712	cluster-NILE20714	0
Entity	gold	cluster-NILE20712	cluster-NILE20715	0
Entity	gold	cluster-NILE20712	cluster-NILE20716	0
Entity	gold	cluster-NILE20712	cluster-NILE20717	0
Entity	gold	cluster-NILE20712	cluster-NILE20718	0
Entity	gold	cluster-NILE20712	cluster-NILE20719	0
Entity	gold	cluster-NILE20712	cluster-NILE20720	0
Entity	gold	cluster-NILE20712	cluster-NILE20721	0
Entity	gold	cluster-NILE20712	cluster-NILE20722	0
Entity	gold	cluster-NILE20712	cluster-NILE20723	0
Entity	gold	cluster-NILE20712	cluster-NILE20724	0
Entity	gold	cluster-NILE20713	cluster-NILE20705	0
Entity	gold	cluster-NILE20713	cluster-NILE20706	0
Entity	gold	cluster-NILE20713	cluster-NILE20707	0
Entity	gold	cluster-NILE20713	cluster-NILE20708	0
Entity	gold	cluster-NILE20713	cluster-NILE20709	0
Entity	gold	cluster-NILE20713	cluster-NILE20710	0
Entity	gold	cluster-NILE20713	cluster-NILE20711	0
Entity	gold	cluster-NILE20713	cluster-NILE20712	0
Entity	gold	cluster-NILE20713	cluster-NILE20713	1
Entity	gold	cluster-NILE20713	cluster-NILE20714	0
Entity	gold	cluster-NILE20713	cluster-NILE20715	0
Entity	gold	cluster-NILE20713	cluster-NILE20716	0
Entity	gold	cluster-NILE20713	cluster-NILE20717	0
Entity	gold	cluster-NILE20713	cluster-NILE20718	0
Entity	gold	cluster-NILE20713	cluster-NILE20719	0
Entity	gold	cluster-NILE20713	cluster-NILE20720	0
Entity	gold	cluster-NILE20713	cluster-NILE20721	0
Entity	gold	cluster-NILE20713	cluster-NILE20722	0
Entity	gold	cluster-NILE20713	cluster-NILE20723	0
Entity	gold	cluster-NILE20713	cluster-NILE20724	0
Entity	gold	cluster-NILE20714	cluster-NILE20705	0
Entity	gold	cluster-NILE20714	cluster-NILE20706	0
Entity	gold	cluster-NILE20714	cluster-NILE20707	0
Entity	gold	cluster-NILE20714	cluster-NILE20708	0
Entity	gold	cluster-NILE20714	cluster-NILE20709	0
Entity	gold	cluster-NILE20714	cluster-NILE20710	0
Entity	gold	cluster-NILE20714	cluster-NILE20711	0
Entity	gold	cluster-NILE20714	cluster-NILE20712	0
Entity	gold	cluster-NILE20714	cluster-NILE20713	0
Entity	gold	cluster-NILE20714	cluster-NILE20714	3
Entity	gold	cluster-NILE20714	cluster-NILE20715	0
Entity	gold	cluster-NILE20714	cluster-NILE20716	0
Entity	gold	cluster-NILE20714	cluster-NILE20717	0
Entity	gold	cluster-NILE20714	cluster-NILE20718	0
Entity	gold	cluster-NILE20714	cluster-NILE20719	0
Entity	gold	cluster-NILE20714	cluster-NILE20720	0
Entity	gold	cluster-NILE20714	cluster-NILE20721	0
Entity	gold	cluster-NILE20714	cluster-NILE20722	0
Entity	gold	cluster-NILE20714	cluster-NILE20723	0
Entity	gold	cluster-NILE20714	cluster-NILE20724	0
Entity	gold	cluster-NILE20715	cluster-NILE20705	0
Entity	gold	cluster-NILE20715	cluster-NILE20706	0
Entity	gold	cluster-NILE20715	cluster-NILE20707	0
Entity	gold	cluster-NILE20715	cluster-NILE20708	0
Entity	gold	cluster-NILE20715	cluster-NILE20709	0
Entity	gold	cluster-NILE20715	cluster-NILE20710	0
Entity	gold	cluster-NILE20715	cluster-NILE20711	0
Entity	gold	cluster-NILE20715	cluster-NILE20712	0
Entity	gold	cluster-NILE20715	cluster-NILE20713	0
Entity	gold	cluster-NILE20715	cluster-NILE20714	0
Entity	gold	cluster-NILE20715	cluster-NILE20715	3
Entity	gold	cluster-NILE20715	cluster-NILE20716	0
Entity	gold	cluster-NILE20715	cluster-NILE20717	0
Entity	gold	cluster-NILE20715	cluster-NILE20718	0
Entity	gold	cluster-NILE20715	cluster-NILE20719	0
Entity	gold	cluster-NILE20715	cluster-NILE20720	0
Entity	gold	cluster-NILE20715	cluster-NILE20721	0
Entity	gold	cluster-NILE20715	cluster-NILE20722	0
Entity	gold	cluster-NILE20715	cluster-NILE20723	0
Entity	gold	cluster-NILE20715	cluster-NILE20724	0
Entity	gold	cluster-NILE20716	cluster-NILE20705	0
Entity	gold	cluster-NILE20716	cluster-NILE20706	0
Entity	gold	cluster-NILE20716	cluster-NILE20707	0
Entity	gold	cluster-NILE20716	cluster-NILE20708	0
Entity	gold	cluster-NILE20716	cluster-NILE20709	0
Entity	gold	cluster-NILE20716	cluster-NILE20710	0
Entity	gold	cluster-NILE20716	cluster-NILE20711	0
Entity	gold	cluster-NILE20716	cluster-NILE20712	0
Entity	gold	cluster-NILE20716	cluster-NILE20713	0
Entity	gold	cluster-NILE20716	cluster-NILE20714	0
Entity	gold	cluster-NILE20716	cluster-NILE20715	0
Entity	gold	cluster-NILE20716	cluster-NILE20716	5
Entity	gold	cluster-NILE20716	cluster-NILE20717	0
Entity	gold	cluster-NILE20716	cluster-NILE20718	0
Entity	gold	cluster-NILE20716	cluster-NILE20719	0
Entity	gold	cluster-NILE20716	cluster-NILE20720	0
Entity	gold	cluster-NILE20716	cluster-NILE20721	0
Entity	gold	cluster-NILE20716	cluster-NILE20722	0
Entity	gold	cluster-NILE20716	cluster-NILE20723	0
Entity	gold	cluster-NILE20716	cluster-NILE20724	0
Entity	gold	cluster-NILE20717	cluster-NILE20705	0
Entity	gold	cluster-NILE20717	cluster-NILE20706	0
Entity	gold	cluster-NILE20717	cluster-NILE20707	0
Entity	gold	cluster-NILE20717	cluster-NILE20708	0
Entity	gold	cluster-NILE20717	cluster-NILE20709	0
Entity	gold	cluster-NILE20717	cluster-NILE20710	0
Entity	gold	cluster-NILE20717	cluster-NILE20711	0
Entity	gold	cluster-NILE20717	cluster-NILE20712	0
Entity	gold	cluster-NILE20717	cluster-NILE20713	0
Entity	gold	cluster-NILE20717	cluster-NILE20714	0
Entity	gold	cluster-NILE20717	cluster-NILE20715	0
Entity	gold	cluster-NILE20717	cluster-NILE20716	0
Entity	gold	cluster-NILE20717	cluster-NILE20717	1
Entity	gold	cluster-NILE20717	cluster-NILE20718	0
Entity	gold	cluster-NILE20717	cluster-NILE20719	0
Entity	gold	cluster-NILE20717	cluster-NILE20720	0
Entity	gold	cluster-NILE20717	cluster-NILE20721	0
Entity	gold	cluster-NILE20717	cluster-NILE20722	0
Entity	gold	cluster-NILE20717	cluster-NILE20723	0
Entity	gold	cluster-NILE20717	cluster-NILE20724	0
Entity	gold	cluster-NILE20718	cluster-NILE20705	0
Entity	gold	cluster-NILE20718	cluster-NILE20706	0
Entity	gold	cluster-NILE20718	cluster-NILE20707	0
Entity	gold	cluster-NILE20718	cluster-NILE20708	0
Entity	gold	cluster-NILE20718	cluster-NILE20709	0
Entity	gold	cluster-NILE20718	cluster-NILE20710	0
Entity	gold	cluster-NILE20718	cluster-NILE20711	0
Entity	gold	cluster-NILE20718	cluster-NILE20712	0
Entity	gold	cluster-NILE20718	cluster-NILE20713	0
Entity	gold	cluster-NILE20718	cluster-NILE20714	0
Entity	gold	cluster-NILE20718	cluster-NILE20715	0
Entity	gold	cluster-NILE20718	cluster-NILE20716	0
Entity	gold	cluster-NILE20718	cluster-NILE20717	0
Entity	gold	cluster-NILE20718	cluster-NILE20718	3
Entity	gold	cluster-NILE20718	cluster-NILE20719	0
Entity	gold	cluster-NILE20718	cluster-NILE20720	0
Entity	gold	cluster-NILE20718	cluster-NILE20721	0
Entity	gold	cluster-NILE20718	cluster-NILE20722	0
Entity	gold	cluster-NILE20718	cluster-NILE20723	0
Entity	gold	cluster-NILE20718	cluster-NILE20724	0
Entity	gold	cluster-NILE20719	cluster-NILE20705	0
Entity	gold	cluster-NILE20719	cluster-NILE20706	0
Entity	gold	cluster-NILE20719	cluster-NILE20707	0
Entity	gold	cluster-NILE20719	cluster-NILE20708	0
Entity	gold	cluster-NILE20719	cluster-NILE20709	0
Entity	gold	cluster-NILE20719	cluster-NILE20710	0
Entity	gold	cluster-NILE20719	cluster-NILE20711	0
Entity	gold	cluster-NILE20719	cluster-NILE20712	0
Entity	gold	cluster-NILE20719	cluster-NILE20713	0
Entity	gold	cluster-NILE20719	cluster-NILE20714	0
Entity	gold	cluster-NILE20719	cluster-NILE20715	0
Entity	gold	cluster-NILE20719	cluster-NILE20716	0
Entity	gold	cluster-NILE20719	cluster-NILE20717	0
Entity	gold	cluster-NILE20719	cluster-NILE20718	0
Entity	gold	cluster-NILE20719	cluster-NILE20719	6
Entity	gold	cluster-NILE20719	cluster-NILE20720	4
Entity	gold	cluster-NILE20719	cluster-NILE20721	0
Entity	gold	cluster-NILE20719	cluster-NILE20722	2
Entity	gold	cluster-NILE20719	cluster-NILE20723	3
Entity	gold	cluster-NILE20719	cluster-NILE20724	0
Entity	gold	cluster-NILE20720	cluster-NILE20705	0
Entity	gold	cluster-NILE20720	cluster-NILE20706	0
Entity	gold	cluster-NILE20720	cluster-NILE20707	0
Entity	gold	cluster-NILE20720	cluster-NILE20708	0
Entity	gold	cluster-NILE20720	cluster-NILE20709	0
Entity	gold	cluster-NILE20720	cluster-NILE20710	0
Entity	gold	cluster-NILE20720	cluster-NILE20711	0
Entity	gold	cluster-NILE20720	cluster-NILE20712	0
Entity	gold	cluster-NILE20720	cluster-NILE20713	0
Entity	gold	cluster-NILE20720	cluster-NILE20714	0
Entity	gold	cluster-NILE20720	cluster-NILE20715	0
Entity	gold	cluster-NILE20720	cluster-NILE20716	0
Entity	gold	cluster-NILE20720	cluster-NILE20717	0
Entity	gold	cluster-NILE20720	cluster-NILE20718	0
Entity	gold	cluster-NILE20720	cluster-NILE20719	4
Entity	gold	cluster-NILE20720	cluster-NILE20720	5
Entity	gold	cluster-NILE20720	cluster-NILE20721	0
Entity	gold	cluster-NILE20720	cluster-NILE20722	1
Entity	gold	cluster-NILE20720	cluster-NILE20723	1
Entity	gold	cluster-NILE20720	cluster-NILE20724	0
Entity	gold	cluster-NILE20721	cluster-NILE20705	0
Entity	gold	cluster-NILE20721	cluster-NILE20706	0
Entity	gold	cluster-NILE20721	cluster-NILE20707	0
Entity	gold	cluster-NILE20721	cluster-NILE20708	0
Entity	gold	cluster-NILE20721	cluster-NILE20709	0
Entity	gold	cluster-NILE20721	cluster-NILE20710	0
Entity	gold	cluster-NILE20721	cluster-NILE20711	0
Entity	gold	cluster-NILE20721	cluster-NILE20712	0
Entity	gold	cluster-NILE20721	cluster-NILE20713	0
Entity	gold	cluster-NILE20721	cluster-NILE20714	0
Entity	gold	cluster-NILE20721	cluster-NILE20715	0
Entity	gold	cluster-NILE20721	cluster-NILE20716	0
Entity	gold	cluster-NILE20721	cluster-NILE20717	0
Entity	gold	cluster-NILE20721	cluster-NILE20718	0
Entity	gold	cluster-NILE20721	cluster-NILE20719	0
Entity	gold	cluster-NILE20721	cluster-NILE20720	0
Entity	gold	cluster-NILE20721	cluster-NILE20721	19
Entity	gold	cluster-NILE20721	cluster-NILE20722	0
Entity	gold	cluster-NILE20721	cluster-NILE20723	0
Entity	gold	cluster-NILE20721	cluster-NILE20724	0
Entity	gold	cluster-NILE20722	cluster-NILE20705	0
Entity	gold	cluster-NILE20722	cluster-NILE20706	0
Entity	gold	cluster-NILE20722	cluster-NILE20707	0
Entity	gold	cluster-NILE20722	cluster-NILE20708	0
Entity	gold	cluster-NILE20722	cluster-NILE20709	0
Entity	gold	cluster-NILE20722	cluster-NILE20710	0
Entity	gold	cluster-NILE20722	cluster-NILE20711	0
Entity	gold	cluster-NILE20722	cluster-NILE20712	0
Entity	gold	cluster-NILE20722	cluster-NILE20713	0
Entity	gold	cluster-NILE20722	cluster-NILE20714	0
Entity	gold	cluster-NILE20722	cluster-NILE20715	0
Entity	gold	cluster-NILE20722	cluster-NILE20716	0
Entity	gold	cluster-NILE20722	cluster-NILE20717	0
Entity	gold	cluster-NILE20722	cluster-NILE20718	0
Entity	gold	cluster-NILE20722	cluster-NILE20719	2
Entity	gold	cluster-NILE20722	cluster-NILE20720	1
Entity	gold	cluster-NILE20722	cluster-NILE20721	0
Entity	gold	cluster-NILE20722	cluster-NILE20722	2
Entity	gold	cluster-NILE20722	cluster-NILE20723	2
Entity	gold	cluster-NILE20722	cluster-NILE20724	1
Entity	gold	cluster-NILE20723	cluster-NILE20705	0
Entity	gold	cluster-NILE20723	cluster-NILE20706	0
Entity	gold	cluster-NILE20723	cluster-NILE20707	0
Entity	gold	cluster-NILE20723	cluster-NILE20708	0
Entity	gold	cluster-NILE20723	cluster-NILE20709	0
Entity	gold	cluster-NILE20723	cluster-NILE20710	0
Entity	gold	cluster-NILE20723	cluster-NILE20711	0
Entity	gold	cluster-NILE20723	cluster-NILE20712	0
Entity	gold	cluster-NILE20723	cluster-NILE20713	0
Entity	gold	cluster-NILE20723	cluster-NILE20714	0
Entity	gold	cluster-NILE20723	cluster-NILE20715	0
Entity	gold	cluster-NILE20723	cluster-NILE20716	0
Entity	gold	cluster-NILE20723	cluster-NILE20717	0
Entity	gold	cluster-NILE20723	cluster-NILE20718	0
Entity	gold	cluster-NILE20723	cluster-NILE20719	3
Entity	gold	cluster-NILE20723	cluster-NILE20720	1
Entity	gold	cluster-NILE20723	cluster-NILE20721	0
Entity	gold	cluster-NILE20723	cluster-NILE20722	2
Entity	gold	cluster-NILE20723	cluster-NILE20723	4
Entity	gold	cluster-NILE20723	cluster-NILE20724	0
Entity	gold	cluster-NILE20724	cluster-NILE20705	0
Entity	gold	cluster-NILE20724	cluster-NILE20706	0
Entity	gold	cluster-NILE20724	cluster-NILE20707	0
Entity	gold	cluster-NILE20724	cluster-NILE20708	0
Entity	gold	cluster-NILE20724	cluster-NILE20709	0
Entity	gold	cluster-NILE20724	cluster-NILE20710	0
Entity	gold	cluster-NILE20724	cluster-NILE20711	0
Entity	gold	cluster-NILE20724	cluster-NILE20712	0
Entity	gold	cluster-NILE20724	cluster-NILE20713	0
Entity	gold	cluster-NILE20724	cluster-NILE20714	0
Entity	gold	cluster-NILE20724	cluster-NILE20715	0
Entity	gold	cluster-NILE20724	cluster-NILE20716	0
Entity	gold	cluster-NILE20724	cluster-NILE20717	0
Entity	gold	cluster-NILE20724	cluster-NILE20718	0
Entity	gold	cluster-NILE20724	cluster-NILE20719	0
Entity	gold	cluster-NILE20724	cluster-NILE20720	0
Entity	gold	cluster-NILE20724	cluster-NILE20721	0
Entity	gold	cluster-NILE20724	cluster-NILE20722	1
Entity	gold	cluster-NILE20724	cluster-NILE20723	0
Entity	gold	cluster-NILE20724	cluster-NILE20724	1
Event	gold	cluster-NILV20705	cluster-NILV20705	1
Event	gold	cluster-NILV20705	cluster-NILV20706	0
Event	gold	cluster-NILV20705	cluster-NILV20707	0
Event	gold	cluster-NILV20706	cluster-NILV20705	0
Event	gold	cluster-NILV20706	cluster-NILV20706	1
Event	gold	cluster-NILV20706	cluster-NILV20707	0
Event	gold	cluster-NILV20707	cluster-NILV20705	0
Event	gold	cluster-NILV20707	cluster-NILV20706	0
Event	gold	cluster-NILV20707	cluster-NILV20707	2
